trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
41,0,41,0,77.97202729992568,,,,,,,,,,,,77.94858520012349,5,0.015929399989545345,77.97202729992568,77.97202729992568,79.51163470000029,[0.11458333333333333],[0.08203125],[1],[0],[0],[1.5625546998344362],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
42,0,42,0,79.5546452999115,,,,,,,,,,,,79.51443560002372,10,0.029122200328856707,79.5546452999115,79.5546452999115,80.79275989998132,[0.234375],[0.02734375],[1],[0],[0],[1.2778674000874162],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
43,0,43,0,80.83674339996651,,,,,,,,,,,,80.79560129996389,10,0.029681799933314323,80.83674339996651,80.83674339996651,82.20783510012552,[-0.07942708333333333],[-0.02734375],[1],[0],[0],[1.4117465997114778],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
44,0,44,0,82.25162559980527,,,,,,,,,,,,82.21064929990098,10,0.02963340003043413,82.25162559980527,82.25162559980527,83.95604590000585,[-0.2760416666666667],[0.41015625],[1],[0],[0],[1.7449483997188509],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
45,0,45,0,83.99218109995127,,,,,,,,,,,,83.96002270001918,5,0.021998499985784292,83.99218109995127,83.99218109995127,85.3553622001782,[0.037760416666666664],[-0.11848958333333333],[1],[0],[0],[1.3947995998896658],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
46,0,46,0,85.38158110016957,,,,,,,,,,,,85.3581687998958,5,0.016208800021559,85.38158110016957,85.38158110016957,86.73705619992688,[-0.3671875],[0.06901041666666667],[1],[0],[0],[1.3784412001259625],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
47,0,47,0,86.76252549979836,,,,,,,,,,,,86.74002599995583,5,0.015586299821734428,86.76252549979836,86.76252549979836,87.96870309999213,[-0.20833333333333334],[-0.14583333333333334],[1],[0],[0],[1.228252099826932],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
48,0,48,0,88.0117783001624,,,,,,,,,,,,87.9715326000005,10,0.029256300069391727,88.0117783001624,88.0117783001624,89.03440529992804,[-0.15625],[-0.1484375],[1],[0],[0],[1.0623984998092055],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
49,0,49,0,89.07779619982466,,,,,,,,,,,,89.03726630005985,10,0.02948240004479885,89.07779619982466,89.07779619982466,90.25060519995168,[-0.061197916666666664],[-0.0390625],[1],[0],[0],[1.2128111999481916],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
50,0,50,0,90.29405200015754,,,,,,,,,,,,90.2534624999389,10,0.02991019980981946,90.29405200015754,90.29405200015754,91.48204859998077,[-0.006510416666666667],[0.17057291666666666],[1],[0],[0],[1.2280150996521115],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
