trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
60,0,60,0,119.62850369978696,,,,,,,,,,,,119.60535559989512,5,0.01579819992184639,119.62850369978696,119.62850369978696,121.11727820010856,[-0.052083333333333336],[-0.028645833333333332],[1],[0],[0],[1.511471699923277],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
61,0,61,0,121.16102120000869,,,,,,,,,,,,121.1201696000062,10,0.029851300176233053,121.16102120000869,121.16102120000869,122.78223170014098,[-0.3411458333333333],[-0.2825520833333333],[1],[0],[0],[1.661627700086683],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
62,0,62,0,122.80819830019027,,,,,,,,,,,,122.78520300006494,5,0.015454899985343218,122.80819830019027,122.80819830019027,124.66411919984967,[-0.3502604166666667],[-0.2526041666666667],[1],[0],[0],[1.8784109000116587],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
63,0,63,0,124.69017070019618,,,,,,,,,,,,124.66760559985414,5,0.01537899998947978,124.69017070019618,124.69017070019618,126.0462640998885,[-0.40625],[-0.3671875],[1],[0],[0],[1.3781590000726283],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
64,0,64,0,126.0907486001961,,,,,,,,,,,,126.04916850011796,10,0.030512799974530935,126.0907486001961,126.0907486001961,127.79441280011088,[-0.3346354166666667],[0.2630208333333333],[1],[0],[0],[1.7448037001304328],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
65,0,65,0,127.840046599973,,,,,,,,,,,,127.79754059994593,10,0.030825200024992228,127.840046599973,127.840046599973,129.17631789995357,[-0.1015625],[0.061197916666666664],[1],[0],[0],[1.3782442002557218],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
66,0,66,0,129.20627960003912,,,,,,,,,,,,129.17922799987718,5,0.01823979988694191,129.20627960003912,129.20627960003912,130.9246975001879,[0.18229166666666666],[-0.4518229166666667],[1],[0],[0],[1.7450386001728475],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
67,0,67,0,130.9691917002201,,,,,,,,,,,,130.92769870022312,10,0.03048379998654127,130.9691917002201,130.9691917002201,132.9055797001347,[0.4518229166666667],[-0.16796875],[1],[0],[0],[1.9773718998767436],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
68,0,68,0,132.9315618998371,,,,,,,,,,,,132.90855999989435,5,0.015631400048732758,132.9315618998371,132.9315618998371,134.93764579994604,[-0.24088541666666666],[0.1484375],[1],[0],[0],[2.02864950010553],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
69,0,69,0,134.96493950020522,,,,,,,,,,,,134.94065089989454,5,0.016463400330394506,134.96493950020522,134.96493950020522,136.56926319980994,[-0.48828125],[-0.1171875],[1],[0],[0],[1.6280601001344621],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
70,0,70,0,136.61454629991204,,,,,,,,,,,,136.57218040013686,10,0.030693100299686193,136.61454629991204,136.61454629991204,138.2497086999938,[0.022135416666666668],[-0.24348958333333334],[1],[0],[0],[1.6771010998636484],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
71,0,71,0,138.27558889985085,,,,,,,,,,,,138.25265400018543,5,0.015982099808752537,138.27558889985085,138.27558889985085,139.64976800000295,[0.09765625],[-0.17447916666666666],[1],[0],[0],[1.3966703000478446],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
72,0,72,0,139.6941654002294,,,,,,,,,,,,139.65272979997098,10,0.03119769971817732,139.6941654002294,139.6941654002294,142.14688770007342,[-0.055989583333333336],[-0.009114583333333334],[1],[0],[0],[2.493682200089097],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
73,0,73,0,142.17297599976882,,,,,,,,,,,,142.14993500011042,5,0.01572010014206171,142.17297599976882,142.17297599976882,144.32800670014694,[-0.2578125],[0.4140625],[1],[0],[0],[2.1776093002408743],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
74,0,74,0,144.35301849991083,,,,,,,,,,,,144.33096880000085,5,0.015631299931555986,144.35301849991083,144.35301849991083,145.76020989986137,[-0.2526041666666667],[0.11328125],[1],[0],[0],[1.428830400109291],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
